idx,formula,a_site,regime,er_measured,pred_original,perm_mean,perm_std,perm_delta
1133,BaMg0.33W0.35Ti0.32O3,Ba,Ib,16.3,15.269971,15.392145557403564,0.1521192630357048,0.1221746635437011
1134,ErAlO3,Other,III,16.3,16.599703,16.810039863586425,0.18047455914987331,0.2103370285034174
1135,Pb0.6Ca0.4Fe0.45Nb0.45Sn0.1O3,Other,II,142.6,140.06923,138.56947967529297,1.2243409721925373,-1.4997494506835949
1136,BaMg0.335W0.335Ti0.33O3,Ba,Ib,13.1,14.697527,14.971810665130615,0.19116252477416312,0.2742837333679198
1137,BaTi0.39Co0.305W0.305O3,Ba,Ib,14.0,17.653849,17.925621032714844,0.25847102337236205,0.2717723846435547
1138,BaMg0.35W0.33Ti0.32O3,Ba,Ib,14.4,14.838443,15.052481327056885,0.1288361563829774,0.2140385246276857
1139,NdMg0.45Co0.05Sn0.5O3,Other,III,19.2,18.417475,18.47117832183838,0.2619751070561837,0.05370357513427848
1140,BaMg0.34W0.32Ti0.34O3,Ba,Ib,14.4,15.459429,15.585538692474366,0.09026382611956586,0.1261099052429202
1141,BaMg0.34W0.33Ti0.33O3,Ba,Ib,15.1,15.226024,15.395736465454101,0.11005807117127706,0.16971279144287088
1142,BaMg0.35W0.34Ti0.31O3,Ba,Ib,15.4,14.67175,14.875816707611085,0.15088605348077863,0.20406663894653398
1143,BaMg0.33W0.33Ti0.33O3,Ba,Ib,15.4,15.238916,15.36056282043457,0.12024902294841859,0.12164642333984332
1144,BaMg0.33W0.34Ti0.33O3,Ba,Ib,15.6,15.444183,15.52694938659668,0.1275914473279512,0.08276603698730511
1145,YAlO3,Other,III,15.7,15.777338,15.960451049804687,0.1639915280704244,0.18311302185058587
1146,Sr2SmSbO6,Sr,II,16.0,15.01183,18.974414291381837,5.972415619863625,3.9625839614868177
1147,BaMg0.34W0.32Ti0.34O3,Ba,Ib,14.5,15.459429,15.557977848052978,0.09903761692258883,0.09854906082153292
1148,Ba0.5Sr0.5Zn0.1667Co0.1667Ta0.2222Nb0.2222Sb0.2222O3,Ba,Ib,27.0,26.6018,26.826010856628418,0.4420618083084981,0.22420993804931655
1149,CaLa0.5Ta0.5O3,Ca,III,19.5,21.507126,21.35675308227539,0.14459593737215837,-0.150372772216798
1150,Ba2SmSbO6,Ba,Ia,20.7,16.750263,14.668109378814698,4.714201452267552,-2.08215383529663
1151,Sr0.985La0.01Mg0.5W0.5O3,Sr,II,20.7,19.086706,20.725670280456544,0.811473483938739,1.6389641189575208
1152,Ba2Mg0.9Ca0.1WO6,Ba,Ia,20.8,21.706387,21.866834564208986,0.5570569020680338,0.1604479980468767
1153,Sr0.036Mg0.964TiO3,Sr,II,20.8,24.999714,24.932180938720702,0.14559746604936905,-0.06753295898437628
1154,La0.786Na0.214Mg0.5W0.5O3,Other,III,20.8,23.219858,23.4359529876709,1.3794655817032966,0.21609481811523423
1155,CaSm0.5Nb0.5O3,Ca,III,20.9,22.454676,22.486586608886718,0.32214321618855574,0.031910934448241335
1156,Ca5Ta2ZrO12,Ca,III,21.0,39.352116,38.51417854309082,1.5147465187329965,-0.8379370880126942
1157,Ba0.95Zn0.5W0.5O2.95,Ba,Ia,21.0,20.369385,20.04252933502197,0.5870897191277237,-0.3268554306030289
1158,NdMg0.5Sn0.4Ti0.1O3,Other,III,21.1,19.554062,19.826658248901367,0.35586402603093764,0.2725963592529297
1159,BaTi0.4Zn0.3W0.3O3,Ba,Ib,21.2,21.10944,21.334352111816408,0.5501358244256463,0.22491226196289205
1160,CaYb0.5Ta0.5O3,Ca,III,21.2,22.693918,22.750912322998047,0.10678483916300785,0.05699409484863338
1161,SrCo0.5W0.5O3,Sr,II,21.2,20.125805,21.396854248046875,0.5237510714765241,1.271049346923828
1162,CaHfO3,Ca,III,21.4,20.907879,20.67215087890625,0.25677883278754016,-0.23572799682617074
1163,BaTi0.45Ni0.275W0.275O3,Ba,Ib,21.6,21.451927,21.406709213256836,0.21853926188963607,-0.04521797180175824
1164,Sr3ZnNb2O9,Sr,II,20.7,35.916805,37.63165168762207,1.3269647352563403,1.714846420288083
1165,CaLa0.5Nb0.5O3,Ca,III,20.6,20.180218,20.251966857910155,0.27519493165291864,0.07174911499023295
1166,NdMg0.43Ca0.07Sn0.5O3,Other,III,19.5,15.61501,15.70089506149292,0.28920575107733487,0.0858847999572756
1167,CaSm0.5Ta0.5O3,Ca,III,19.6,20.102865,20.206591987609862,0.20785999621498827,0.10372676849365092
1168,BaMg0.33Ta0.33Ti0.167W0.167O3,Ba,Ib,19.7,18.883413,19.578479080200196,1.125117524176402,0.6950657653808605
1169,CaNd0.5Ta0.5O3,Ca,III,20.0,22.64732,22.443661880493163,0.18260831012901035,-0.20365791320800852
1170,CaNd0.5Nb0.5O3,Ca,III,20.0,21.344831,21.431530532836913,0.3371270035943832,0.0866990661621081
1171,BaCo0.5W0.5O3,Ba,Ia,19.3,19.41533,19.247250366210938,0.5866044732601934,-0.1680805206298821
1172,Sr3Zn0.75Mg0.25Nb2O9,Sr,II,20.0,31.626835,32.839084701538084,1.1287658631821242,1.2122498321533186
1173,BaMg0.46W0.46Ti0.08O3,Ba,Ib,20.0,19.443707,19.268878555297853,1.1439634811596542,-0.1748279571533189
1174,BaMg0.333Ta0.567W0.05Ti0.05O3,Ba,Ib,20.0,22.467274,22.75076774597168,0.7767041246608029,0.2834940338134757
1175,BaTi0.4Ni0.3W0.3O3,Ba,Ib,20.0,19.980743,19.879068717956542,0.2086272791572921,-0.1016746902465826
1176,BaMg0.49Y0.006667W0.496667O3,Ba,Ia,20.0,17.637503,17.466167068481447,0.6912627557262512,-0.1713356018066392
1177,Ba0.97La0.02Mg0.5W0.5O3,Ba,Ia,20.0,17.641964,17.66814540863037,0.5049391265994626,0.026181449890135156
1178,BaLa0.5Ta0.5O3,Ba,III,27.1,26.759542,27.025980224609373,0.5829468964289181,0.2664377593994125
1179,SrLa0.5Ta0.5O3,Sr,III,27.1,25.589785,24.17431205749512,0.3761477853439743,-1.4154725646972643
1180,SrNd0.5Ta0.5O3,Sr,III,27.1,25.51595,24.452294807434082,0.36120174915241443,-1.0636544418334957
1181,Sr5Nb2Ta2O15,Sr,II,33.2,39.31841,39.9601929473877,1.1086909780684537,0.6417839813232433
1182,BaHo0.5Ta0.5O3,Ba,II,33.5,32.69908,32.04037746429444,0.8139472110713862,-0.6587039566040005
1183,Ba8ZnNb5.4Sb0.6O24,Ba,Ib,33.6,32.625732,32.36635242462158,0.46846607874989177,-0.25937999725341854
1184,Ba0.99Co0.2333Zn0.1Nb0.6667O3,Ba,Ib,33.7,33.457283,32.85809562683105,0.910203711757563,-0.5991873931884797
1185,Ba2Sr3Ta4O15,Sr,Ib,33.7,33.211395,34.06485160827637,0.46195687679548214,0.8534563446044956
