idx,formula,regime,a_site,is_train,is_holdout,er_measured,er_predicted,ensemble_std,er_cm,delta_lst,delta_tilt,delta_res,sigma_conf,has_cm,cm_approx,gii,gii_norm,tolerance_factor,chi_A,chi_B,d0_per_field,d0_B_fraction,alpha_total,a_off_centering_frac,phase_transition,ordering_proxy,soft_mode_tolerance_weighted,RE_x_chi_A,f_lst
43,Ba8Ta4Ti3O23.5,Ib,Ba,True,False,40.0,40.510113,0.7742373,27.197948,13.175283,-0.0070394585,0.14392117,0.86933696,True,True,0.5218073,0.4475546,1.0510574870970408,0.89,1.5171428571428571,0.08577089010028033,1.0,112.42500000000001,0.0,0.0,0.7082009974671558,0.5693655077417755,0.0,0.4844219497735638
44,Ba8Ta4.32Ti2.6O23.54,Ib,Ba,True,False,36.0,39.223656,0.8335057,27.009779,12.075066,-0.0065273577,0.14533685,0.8685751,True,True,0.5179071,0.44420937,1.050098287918752,0.89,1.5150289017341043,0.08527656405813587,1.0,112.4918,0.0,0.0,0.6864471894055965,0.5348001546630841,0.0,0.4470627471627961
45,Ba8Ta4.64Ti2.2O23.58,Ib,Ba,True,False,44.0,37.987045,0.9261622,26.816463,11.027571,-0.005758834,0.14876951,0.8678297,True,True,0.51410943,0.44095212,1.0491184622876724,0.89,1.5128654970760236,0.08477653965771238,1.0,112.5586,0.0,0.0,0.6513604207414463,0.4993518250676434,0.0,0.4112239186801034
46,Ba10Ta7.04Ti.2O29.88,Ib,Ba,True,False,35.0,34.958748,0.9213766,25.920134,8.85675,-0.002649358,0.18451539,0.8654307,True,True,0.5020095,0.430574,1.0455602842023954,0.89,1.5049751243781098,0.08300150343467506,1.0,140.8736,0.0,0.0,0.3894678123458126,0.3694298999455405,0.0,0.34169383537909176
47,Ba10Ta7.28Ti0.9O29.91,Ib,Ba,True,False,35.0,35.202633,0.8647227,26.91737,8.1083555,-0.003056412,0.1799651,0.8652771,True,True,0.50124115,0.42991498,1.0453023136235002,0.89,1.5044009779951102,0.08287523888235265,1.0,141.5097,0.0,0.0,0.3594022467570317,0.3599373673331449,0.0,0.3012313424379871
48,Ba10Ta7.52Ti0.6O29.94,Ib,Ba,True,False,34.0,34.456932,0.93757385,26.778732,7.494742,-0.0028711096,0.18632884,0.8649039,True,True,0.49937722,0.4283163,1.0446534810827406,0.89,1.5029556650246307,0.08255908420014675,1.0,141.5598,0.0,0.0,0.2733536230749385,0.33601843079158783,0.0,0.2798766573413558
49,Ba5Ta4O15,Ib,Ba,True,False,28.0,29.43873,0.4919551,26.495808,2.958133,-0.0067697265,-0.008441517,0.8642023,True,True,0.49588448,0.42532057,1.043329123221327,0.89,1.5,0.08192,1.0,70.83000000000001,0.0,0.0,-0.0,0.2870012630336018,0.0,0.1116453214032952
50,Ba5Sr2Ta4ZrO21,Ib,Ba,True,False,27.0,27.49909,1.5682132,0.0,26.440393,-0.00058769045,0.32557186,0.98837644,False,True,0.25826725,0.22151606,1.0185049731793443,0.9071428571428573,1.4660000000000002,0.08842643923240938,1.0,94.62,0.0,0.0,0.5189358466321948,0.35333820965543594,0.0,
51,Sr3LaNb3O12,III,Sr,True,False,36.0,36.338505,1.7039337,0.0,34.03193,-0.0003537504,0.48248196,0.9960496,False,True,0.8918976,0.7649814,0.9392812247753952,0.95,1.475,0.07606889794096311,0.75,50.05,0.0,0.0,0.5956587087443673,0.42267655114892777,0.0,
52,BaHo0.5Nb0.5O3,II,Ba,True,False,38.0,36.6307,1.1494253,14.089469,22.475658,-0.00049111794,0.06606142,0.15946716,True,False,0.19692299,0.16890103,0.9805995905881172,0.89,1.415,0.06288312250546305,0.5,14.129999999999999,0.0,0.0,0.6931471805599453,0.2941798771764351,0.0,1.5952097272083143
53,Ca5Ta2TiO12,III,Ca,False,True,38.0,37.296345,1.4531382,0.0,29.562891,-0.00035643516,0.4279847,0.9937261,False,True,0.62088317,0.53253204,0.9552042302963716,1.0,1.5133333333333332,0.08488417238353166,1.0,50.089999999999996,0.0,0.0,0.7661744618363487,0.5094422561580648,0.0,
54,CaTi0.70Al0.15Ta0.15O3,II,Ca,True,False,65.4,64.32998,1.4028623,25.77965,38.446514,-0.00075690576,0.104574874,0.24022293,True,False,0.49466097,0.42427117,0.9688573974002452,1.0,1.5444999999999998,0.07690223260090356,0.85,11.9025,0.0,0.0,0.9097871735809745,0.7217987610631827,0.0,1.4913512790127097
55,CaTi0.60Al0.20Ta0.20O3,II,Ca,True,False,52.2,50.84762,0.94653386,24.728025,26.051441,-0.0012142337,0.06936513,0.24031451,True,False,0.4949535,0.42452207,0.969705996221792,1.0,1.546,0.07210722681783648,0.8,11.83,0.0,0.0,1.055856154703594,0.6400059575063827,0.0,1.0535188718063817
56,CaTi0.60Al0.20Ta0.20O3,II,Ca,True,False,52.3,50.808613,0.93151635,24.728025,26.01319,-0.0012259453,0.06861827,0.24031451,True,False,0.4949535,0.42452207,0.969705996221792,1.0,1.546,0.07210722681783648,0.8,11.83,0.0,0.0,1.055856154703594,0.6400059575063827,0.0,1.0519720034252635
57,CaTi0.60Al0.20Ta0.20O3,II,Ca,True,False,52.4,50.731434,0.90658486,24.728025,25.937826,-0.0012550568,0.066837385,0.24031451,True,False,0.4949535,0.42452207,0.969705996221792,1.0,1.546,0.07210722681783648,0.8,11.83,0.0,0.0,1.055856154703594,0.6400059575063827,0.0,1.0489242873217737
58,CaTi0.60Al0.20Ta0.20O3,II,Ca,True,False,52.0,50.682304,0.90192336,24.728025,25.890387,-0.0012835953,0.06517627,0.24031451,True,False,0.4949535,0.42452207,0.969705996221792,1.0,1.546,0.07210722681783648,0.8,11.83,0.0,0.0,1.055856154703594,0.6400059575063827,0.0,1.0470058567152047
59,CaTi0.54Al0.23Ta0.23O3,II,Ca,True,False,46.6,45.076775,0.72829425,24.133062,20.892776,-0.0017283994,0.052666564,0.24037424,True,False,0.49514413,0.42468557,0.9702158694264454,1.0,1.5469000000000002,0.06924744189308356,0.77,11.7865,0.0,0.0,1.120879401684416,0.5908614644807053,0.0,0.8657324959427031
60,CaTi0.54Al0.23Ta0.23O3,II,Ca,True,False,46.7,44.953197,0.7452267,24.133062,20.770256,-0.0017631305,0.051644243,0.24037424,True,False,0.49514413,0.42468557,0.9702158694264454,1.0,1.5469000000000002,0.06924744189308356,0.77,11.7865,0.0,0.0,1.120879401684416,0.5908614644807053,0.0,0.8606556432830612
61,CaTi0.54Al0.23Ta0.23O3,II,Ca,True,False,46.8,44.66717,0.8024649,24.133062,20.486761,-0.0018521383,0.049204208,0.24037424,True,False,0.49514413,0.42468557,0.9702158694264454,1.0,1.5469000000000002,0.06924744189308356,0.77,11.7865,0.0,0.0,1.120879401684416,0.5908614644807053,0.0,0.8489084808218701
62,CaTi0.54Al0.23Ta0.23O3,II,Ca,True,False,46.5,44.41604,0.8774187,24.133062,20.23798,-0.0019434178,0.04693682,0.24037424,True,False,0.49514413,0.42468557,0.9702158694264454,1.0,1.5469000000000002,0.06924744189308356,0.77,11.7865,0.0,0.0,1.120879401684416,0.5908614644807053,0.0,0.8385997599475774
63,CaTi0.50Al0.25Ta0.25O3,II,Ca,True,False,41.4,41.861633,0.85705304,23.750372,18.070108,-0.002189544,0.043342225,0.240416,True,False,0.49527746,0.42479992,0.970556082880972,1.0,1.5475,0.06734803941145333,0.75,11.7575,0.0,0.0,1.1552453009332422,0.5580697476565588,0.0,0.7608347355569842
64,CaTi0.70Al0.15Ta0.15O3,II,Ca,True,False,65.7,63.99767,1.5334285,25.77965,38.113567,-0.0007533111,0.10520463,0.24022293,True,False,0.49466097,0.42427117,0.9688573974002452,1.0,1.5444999999999998,0.07690223260090356,0.85,11.9025,0.0,0.0,0.9097871735809745,0.7217987610631827,0.0,1.4784361696144053
65,CaTi0.50Al0.25Ta0.25O3,II,Ca,True,False,41.5,41.318798,0.9598716,23.750372,17.531454,-0.0024101953,0.039384138,0.240416,True,False,0.49527746,0.42479992,0.970556082880972,1.0,1.5475,0.06734803941145333,0.75,11.7575,0.0,0.0,1.1552453009332422,0.5580697476565588,0.0,0.7381549223734265
66,Ca0.70Nd0.30Ti0.70Al0.30O3,II,Ca,False,True,43.5,39.98851,1.2368249,24.230476,15.681516,-0.0043014763,0.08082006,0.23554704,True,False,0.47962525,0.41137502,0.969064182482975,1.0419999999999998,1.561,0.06485006129225518,0.7,11.544,0.0,0.0,0.6108643020548935,0.6783449277380824,0.0,0.6471815081139967
67,Ca0.70La0.15Nd0.15Ti0.70Al0.30O3,II,Ca,True,False,41.5,40.131096,0.64863104,24.615978,15.432516,-0.0060700956,0.08867546,0.22151645,True,False,0.4332215,0.37157446,0.9738756449557666,1.036,1.561,0.06485006129225518,0.7,11.6505,0.0,0.0,0.6108643020548935,0.6817129514690365,0.0,0.6269308495482081
68,Ca0.70La0.30Ti0.70Ga0.30O3,II,Ca,True,False,49.4,47.335857,1.3765378,24.682264,22.545282,-0.0013107704,0.10962081,0.23083086,True,False,0.4642494,0.39818713,0.9662678383370288,1.03,1.621,0.07006262313332634,0.7,11.969999999999999,0.0,0.0,0.6108643020548935,0.67638748683592,0.0,0.91342034101896
69,Ca0.70Nd0.30Ti0.70Ga0.15Al0.15O3,III,Ca,False,True,45.3,47.20302,1.4321936,24.109007,22.97532,-0.0016906807,0.12038092,0.24781163,True,False,0.5186436,0.4448411,0.9628763430806172,1.0419999999999998,1.591,0.06735564448721115,0.7,11.6505,0.0,0.0,0.818808456222877,0.674013440156432,0.0,0.9529766198997744
70,Ca0.70La0.30Ti0.70Ga0.15Al0.15O3,II,Ca,True,False,45.2,44.57718,1.0382836,24.84513,19.644543,-0.002858344,0.090361744,0.21959487,True,False,0.42670533,0.36598554,0.9724378220299282,1.03,1.591,0.06735564448721115,0.7,11.863499999999998,0.0,0.0,0.818808456222877,0.6807064754209498,0.0,0.7906798233698112
71,Ca0.70La0.15Nd0.15Ti0.70Ga0.15Al0.15O3,II,Ca,True,False,45.2,43.04156,1.25255,24.478294,18.459543,-0.0034370036,0.10716204,0.23323385,True,False,0.4721109,0.40492994,0.9676570825552728,1.036,1.591,0.06735564448721115,0.7,11.756999999999998,0.0,0.0,0.818808456222877,0.6773599577886908,0.0,0.7541188532174669
72,Ca0.67La0.165Nd0.165Ti0.67Ga0.33O3,III,Ca,True,False,44.7,44.423065,1.2401443,23.908289,20.385134,-0.0014939911,0.13113442,0.2454427,True,False,0.5112111,0.43846622,0.9610383091650794,1.0396,1.6291000000000002,0.06769491203859376,0.67,11.83785,0.0,0.0,0.6341786357122057,0.6438956671406032,0.0,0.8526387647397102
73,Ca0.66La0.17Nd0.17Ti0.66Ga0.34O3,III,Ca,True,False,44.1,43.80479,1.1841338,23.77012,19.906359,-0.001499038,0.12981243,0.2456049,True,False,0.5117215,0.438904,0.9608786492269312,1.0408000000000002,1.6318000000000001,0.06689567935719294,0.66,11.8293,0.0,0.0,0.6410354778811556,0.6341799084897747,0.0,0.837453029265313
74,Ca0.64La0.18Nd0.18Ti0.64Ga0.36O3,III,Ca,True,False,43.6,42.662144,1.0912522,23.498144,19.037899,-0.0015011576,0.12759885,0.24592881,True,False,0.51274014,0.43977767,0.9605594008259358,1.0432000000000001,1.6372,0.0652819338669582,0.64,11.8122,0.0,0.0,0.6534181947937018,0.614758016528599,0.0,0.8101873492646908
75,Ca0.66La0.34Ti0.66Ga0.34O3,II,Ca,True,False,47.5,44.78599,1.3179613,24.154959,20.527943,-0.0013824105,0.10447327,0.22981885,True,False,0.46092147,0.39533275,0.966260836059504,1.034,1.6318000000000001,0.06689567935719294,0.66,11.95,0.0,0.0,0.6410354778811556,0.6377321517992727,0.0,0.8498438353797246
76,Ca0.64La0.36Ti0.64Ga0.36O3,II,Ca,True,False,46.5,43.653904,1.286582,23.899342,19.653591,-0.0014093515,0.10237701,0.22933073,True,False,0.4593128,0.393953,0.9662573364881036,1.036,1.6372,0.0652819338669582,0.64,11.94,0.0,0.0,0.6534181947937018,0.6184046953523863,0.0,0.8223486236566679
77,Ba2.5Sr0.5LaNb3O12,Ib,Ba,True,False,41.86,42.298412,0.94244313,0.0,41.68382,-0.00044830865,0.49682474,0.99030906,False,True,0.36540958,0.31341213,0.9861350417389564,0.9,1.475,0.07606889794096311,0.75,52.55,0.0,0.0,0.5789969266815879,0.4437607687825304,0.0,
