idx,formula,a_site,regime,er_measured,pred_original,perm_mean,perm_std,perm_delta
725,BaDy0.5Ta0.5O3,Ba,II,34.0,32.83525,32.25932632446289,0.7090996531838103,-0.5759245300292974
726,BaHo0.5Ta0.5O3,Ba,II,33.5,31.06314,30.48085163116455,1.0095703011394004,-0.5822892379760738
727,BaY0.5Ta0.5O3,Ba,II,33.0,31.950205,31.456091079711914,0.7197163761914424,-0.49411376953124986
728,BaYb0.5Ta0.5O3,Ba,Ib,32.0,27.837805,29.247778129577636,0.8166360471185761,1.4099733352661126
729,LiBa4NbTa2O12,Ba,Ib,30.0,39.16741,39.16741180419922,0.0,0.0
730,BaNi0.0658Zr0.0125Zn0.2633Ta0.6583O3,Ba,Ib,28.3,28.367283,27.535189208984374,0.8849976049760956,-0.8320936584472669
731,CaAl0.4735Nb0.4735Ti0.053O3,Ca,II,23.8,23.67497,25.813299026489258,2.82219112413611,2.138328399658203
732,LaMg0.667Nb0.333O3,Other,III,26.8,24.118727,22.72236255645752,1.4181398043513211,-1.396364173889161
733,SrGa0.5Ta0.5O3,Sr,Ib,27.0,29.829105,29.23100296020508,0.9806638467678911,-0.5981024169921874
734,SrFe0.5Nb0.5O3,Sr,II,44.9,43.235573,43.82993530273438,3.325562350037767,0.5943624877929707
735,BaMn0.333Ta0.667O3,Ba,Ib,27.0,26.564672,26.628441619873048,0.8694836946397604,0.06376914978027415
736,BaMn0.3333Ta0.6667O3,Ba,Ib,27.0,26.557384,26.453392639160157,0.45872868032802827,-0.10399185180664006
737,BaMg0.2333Ta0.4667Co0.1Nb0.2O3,Ba,Ib,27.0,26.29675,28.856929321289062,1.789675361498979,2.5601802062988277
738,CaZr0.2Ti0.8O3,Ca,III,141.0,138.43138,117.56627029418945,22.349648753819896,-20.865110931396487
739,CaZr0.3Ti0.7O3,Ca,III,138.0,136.86967,115.70883758544922,22.107779195236766,-21.16083709716797
740,CaZr0.4Ti0.6O3,Ca,III,98.0,96.99478,72.44166885375977,20.16995946454344,-24.55311264038086
741,CaAl0.5Nb0.5O3,Ca,II,23.6,22.317942,23.053256149291993,1.3140629311538974,0.7353144836425791
742,CaZr0.5Ti0.5O3,Ca,III,59.0,62.165375,51.954572219848636,9.981377510215607,-10.210802536010739
743,CaZr0.7Ti0.3O3,Ca,III,38.0,37.295044,34.49419242858887,3.1905160135609387,-2.8008515167236325
744,CaZr0.8Ti0.2O3,Ca,III,28.0,30.91625,29.26199394226074,1.6851060542377032,-1.654256286621095
745,CaZr0.9Ti0.1O3,Ca,III,42.0,38.111427,35.329495697021486,3.2370965899922868,-2.7819316101074207
746,CaZrO3,Ca,III,27.0,24.931477,24.979402313232423,0.32799883110912814,0.04792572021484531
