scatter0_x,scatter0_y,scatter1_x,scatter1_y,scatter2_x,scatter2_y,scatter3_x,scatter3_y,scatter4_x,scatter4_y,scatter5_x,scatter5_y
,,3.1810167,2.5621204,3.3954034,3.225911,1.5997605,-3.4238017,,,,
,,3.0512633,2.3827827,2.6639965,-2.0987785,1.7102692,-3.1617765,,,,
,,0.6396118,-5.0437503,1.1916149,-2.2525494,4.79822,2.3236246,,,,
,,0.39402306,-2.4868262,2.3902411,-2.3215022,1.7722267,-3.2771556,,,,
,,3.263006,-1.9879936,0.15535516,-2.805914,0.80490094,-3.7146692,,,,
,,-0.5960767,-0.98513776,0.82401,-3.3670385,4.067052,2.1730673,,,,
,,2.3406384,-1.7771634,1.7127842,0.4002906,3.1362014,2.050605,,,,
,,0.019363903,-1.7243985,2.0522587,0.3270042,1.9767419,1.9693853,,,,
,,3.65021,-2.1027954,1.146481,-2.6224363,-1.2631009,1.5256147,,,,
,,2.2249012,-2.8164432,0.5918158,-0.07492784,1.3880447,-0.8646875,,,,
,,2.084253,-2.3406143,1.195632,0.09257425,-0.07480468,1.4996071,,,,
,,2.2012258,-2.3487003,-0.5926617,-3.979442,-1.3390797,1.6406296,,,,
,,-2.9953873,-4.9222245,1.7906342,0.11075514,0.65946645,1.3989407,,,,
,,-1.5761607,-5.552605,1.3859789,-0.44492725,-1.3414997,1.3707243,,,,
,,-0.54614437,-5.593044,1.1936668,-0.44090483,4.7838297,2.5090578,,,,
,,0.27108485,-5.3804426,1.4308442,-0.53218365,1.1994987,1.3888192,,,,
,,0.9578804,-5.0524645,1.7966723,0.21556099,1.2998321,1.947275,,,,
,,3.801532,-2.806957,1.0532067,0.19224839,0.56659126,1.9381679,,,,
,,4.0004506,4.346702,-1.7286814,1.8423988,-1.1094484,1.9502839,,,,
,,4.4810133,4.5750027,1.5319891,-2.7695246,-2.920666,2.16532,,,,
,,3.9728878,-2.066779,0.9184494,-0.082086235,-6.4857707,1.3788527,,,,
,,4.2770066,-2.292125,1.25076,-0.17973302,-9.529833,-1.1437598,,,,
,,3.9123693,-0.93723065,-0.33813116,-2.5249467,2.6652553,2.08809,,,,
,,4.0327997,-0.44274342,2.1410894,-0.38510862,-8.423264,-0.13135596,,,,
,,4.0472703,-0.39308503,0.8798274,0.34931085,-2.5781336,1.7745727,,,,
,,1.4073981,-4.9480658,2.3019216,-1.2048119,0.33440372,1.788978,,,,
,,0.6374866,-5.018894,2.2710536,-0.6137125,3.0107045,4.806139,,,,
,,4.657845,-1.6854346,0.7428702,0.41907766,3.190079,4.874003,,,,
,,3.149955,-2.077081,2.0474987,-1.5993922,3.2374625,5.1615496,,,,
,,2.927008,-3.248714,1.9579043,0.09257987,3.5310974,5.12188,,,,
,,1.9180532,-4.220125,1.9175401,-2.0641332,3.006816,4.7750278,,,,
,,1.3892684,-4.946362,2.2316148,-0.48729053,3.1868062,4.8425508,,,,
,,0.9377899,-4.8438406,1.3095511,-0.43548575,3.2336748,5.1343746,,,,
,,0.32830292,-5.1164503,-0.5959396,-3.5162222,3.5282755,5.0947776,,,,
,,-1.1259612,-4.985579,1.4363663,-0.927894,3.114916,0.8262639,,,,
,,-2.9258134,-4.788642,1.9561387,-0.010851476,3.3091953,0.9757836,,,,
,,-6.4217687,-2.1791809,1.4814957,0.15877602,3.4500825,1.1353385,,,,
,,4.060547,-0.34681398,1.2325274,3.2083611,3.633395,1.302419,,,,
,,1.5975648,-4.8634796,1.0080281,2.7276287,3.702625,1.3125854,,,,
,,1.7586998,-4.755975,2.3373647,-0.06086856,3.7865314,1.4068437,,,,
,,1.3208514,-4.8934355,-10.31482,-3.9248967,3.8493617,1.4301786,,,,
,,1.4724487,-4.8634224,,,3.8451962,2.3981183,,,,
,,1.7955189,-4.681238,,,3.9231775,2.4903662,,,,
,,1.6628911,-4.7172236,,,3.7619627,2.369708,,,,
,,1.2074785,-4.9937673,,,4.0136476,2.5828085,,,,
,,1.0853817,-5.0776443,,,4.0909395,2.631573,,,,
,,0.013088144,-5.223313,,,4.868609,2.1932008,,,,
,,-0.57485634,-5.0828867,,,2.9467282,4.954281,,,,
,,-0.4161551,-4.971297,,,-2.7581048,4.6110144,,,,
,,1.442,-4.9361024,,,-0.24904394,5.2018337,,,,
,,4.0943747,-0.22514804,,,0.8692021,5.4901414,,,,
,,4.0372853,-0.42750663,,,0.7717728,4.260388,,,,
,,4.0347586,-0.3954968,,,1.3751956,4.3878837,,,,
,,5.056886,-1.2847193,,,4.075017,-0.23479475,,,,
,,4.8471756,-1.3764943,,,3.38227,4.7921515,,,,
,,4.8534517,-1.1341801,,,3.49031,1.1994205,,,,
,,-0.5448935,0.19305891,,,2.8104827,5.251065,,,,
,,-1.5293084,0.19943304,,,2.55864,4.83656,,,,
,,0.5397544,0.24414645,,,2.032255,5.0079985,,,,
,,0.057676006,-1.7915657,,,4.483121,0.96476793,,,,
,,0.06898294,-0.9632054,,,3.8690224,1.0840453,,,,
