line0_x,line0_y,scatter1_x,scatter1_y,scatter2_x,scatter2_y,scatter3_x,scatter3_y,scatter4_x,scatter4_y,scatter5_x,scatter5_y
,,83.9000015258789,80.06788635253906,65.5999984741211,58.44342422485352,34.900001525878906,39.407188415527344,14.100000381469728,27.7393798828125,30.0,32.27378463745117
,,85.0,65.6708984375,41.099998474121094,43.246856689453125,29.5,28.208168029785156,27.700000762939453,25.584190368652344,25.0,32.18901062011719
,,85.0,69.03627014160156,39.70000076293945,47.37906265258789,29.600000381469727,30.032081604003903,27.100000381469727,24.29984664916992,25.100000381469727,23.579280853271484
,,86.30000305175781,66.61373901367188,22.739999771118164,28.08397102355957,28.399999618530273,30.23095703125,27.100000381469727,24.891658782958984,20.350000381469727,26.77213478088379
,,86.30000305175781,72.37510681152344,25.84000015258789,30.80465316772461,30.200000762939453,29.73338508605957,27.5,27.062763214111328,25.100000381469727,21.6060791015625
,,87.0,67.89666748046875,29.3799991607666,36.30823516845703,34.099998474121094,41.54956817626953,29.700000762939453,27.542930603027344,24.700000762939453,21.605728149414062
,,87.80000305175781,65.12020111083984,32.849998474121094,39.91047668457031,34.70000076293945,45.302001953125,31.799999237060547,27.93956756591797,21.100000381469727,26.72440719604492
,,88.19999694824219,67.37869262695312,50.209999084472656,54.45835876464844,29.100000381469727,31.916072845458984,29.399999618530273,28.06123733520508,20.899999618530273,25.95568084716797
,,90.8000030517578,69.16009521484375,65.5,58.35093688964844,30.399999618530273,31.916072845458984,37.5,25.54649353027344,23.399999618530273,24.514854431152344
,,86.69999694824219,64.3381576538086,69.19999694824219,67.73322296142578,31.200000762939453,31.524436950683594,36.900001525878906,25.20193672180176,40.20000076293945,43.58966445922851
,,82.0,71.66116333007812,46.0,32.218990325927734,31.5,31.757827758789062,35.79999923706055,29.393712997436523,19.5,21.913619995117188
,,110.0,100.61076354980467,43.0,32.520042419433594,31.0,31.524436950683594,34.70000076293945,29.39000701904297,19.700000762939453,21.910871505737305
,,139.39999389648438,78.65594482421875,40.0,32.33384704589844,31.5,44.621917724609375,34.29999923706055,29.28612518310547,20.100000381469727,21.906593322753903
,,140.6999969482422,87.02120971679688,38.0,29.355873107910156,32.0,32.51081848144531,33.70000076293945,29.73954963684082,20.100000381469727,18.065532684326172
,,132.0,103.0604248046875,62.970001220703125,49.123085021972656,29.899999618530273,26.790372848510746,33.0,29.749431610107425,20.200000762939453,26.615262985229492
,,127.1999969482422,71.01803588867188,59.29999923706055,51.94699478149414,35.5,32.18162536621094,32.29999923706055,29.99165725708008,23.600000381469727,18.547121047973633
,,126.6999969482422,77.66857147216797,49.209999084472656,37.1658821105957,34.5,30.58338928222656,32.20000076293945,31.623069763183594,22.600000381469727,20.334144592285156
,,112.0,110.93919372558594,44.36000061035156,51.89458465576172,32.0,37.63018035888672,32.20000076293945,30.562255859375,21.899999618530273,20.26944351196289
,,112.1999969482422,72.83711242675781,40.45000076293945,50.22623443603515,46.20000076293945,41.519493103027344,30.700000762939453,31.09076690673828,22.600000381469727,21.323646545410156
,,116.5999984741211,70.78506469726562,35.22999954223633,50.36248016357422,135.0,129.1595916748047,26.0,32.48671340942383,22.8799991607666,25.925142288208008
,,118.0,101.35011291503906,71.86000061035156,50.716529846191406,86.0,54.012786865234375,44.900001525878906,38.28751373291016,20.959999084472656,25.89316749572754
,,52.20000076293945,56.786407470703125,54.310001373291016,45.583892822265625,66.0,43.14118576049805,35.29999923706055,29.536867141723633,22.059999465942383,26.74892807006836
,,55.099998474121094,53.5303955078125,44.2400016784668,41.24302673339844,47.0,36.97598648071289,30.5,28.127948760986328,26.799999237060547,21.89373779296875
,,50.0,58.674556732177734,100.0999984741211,83.83309936523438,47.0,34.299217224121094,36.599998474121094,24.682960510253903,27.600000381469727,27.989398956298828
,,57.400001525878906,50.7025146484375,105.0999984741211,85.88063049316406,47.439998626708984,51.63982772827149,23.0,32.2542724609375,29.799999237060547,29.51021385192871
,,78.0,62.47813415527344,97.5999984741211,97.00399780273438,43.5,22.185443878173828,23.0,32.88554763793945,37.20000076293945,34.602569580078125
,,68.69999694824219,66.57333374023438,89.4000015258789,89.3529281616211,43.599998474121094,21.80154800415039,22.0,31.164566040039062,51.20000076293945,60.428802490234375
,,70.30000305175781,60.17121887207031,103.0,85.12431335449219,43.79999923706055,21.435997009277344,28.0,33.69276428222656,58.79999923706055,60.428802490234375
,,72.0,64.30644989013672,70.5999984741211,84.34933471679688,43.5,21.61644744873047,22.0,31.740219116210938,90.4000015258789,94.67129516601562
,,74.0,93.7074737548828,72.0,78.93284606933594,43.900001525878906,21.260250091552734,30.5,26.92069625854492,102.5,94.67129516601562
,,65.30000305175781,60.11912536621094,73.0,50.7285270690918,48.29999923706055,14.359732627868652,31.600000381469727,26.92069625854492,43.20000076293945,42.73622131347656
,,65.0,41.789100646972656,95.5,56.481571197509766,44.20000076293945,14.359732627868652,32.099998474121094,26.92220115661621,36.20000076293945,39.42526626586914
,,63.0,59.06681823730469,67.9000015258789,82.64490509033203,42.79999923706055,27.560508728027344,36.0,26.92354965209961,37.709999084472656,41.353424072265625
,,64.69999694824219,60.47758102416992,79.5999984741211,82.38346862792969,45.0,46.51598358154297,39.0,26.925777435302734,32.97999954223633,34.836795806884766
,,142.60000610351562,77.13019561767578,84.0,82.11013793945312,44.0,46.25224685668945,42.0,26.927379608154297,29.0,31.442232131958008
,,36.0,35.82903289794922,83.9000015258789,81.82496643066406,60.70000076293945,51.95911407470703,45.0,26.927947998046875,72.41000366210938,65.22673034667969
