scatter0_x,scatter0_y,scatter1_x,scatter1_y,scatter2_x,scatter2_y,scatter3_x,scatter3_y
,,1.053238,22.429592,2.5869,128.71866,2.0702572,35.87762
,,1.542335,38.44729,7.33722,116.85315,2.3014889,36.184654
,,2.0598292,25.728893,5.4991455,116.976074,2.1493487,97.01454
,,1.7931103,31.75697,4.334362,125.49353,1.5282086,19.680084
,,0.1710274,24.448948,2.0312853,54.3144,0.37429324,23.633327
,,2.0299726,26.506098,1.843646,51.090385,1.6115881,26.30575
,,0.5426407,14.881045,2.0286038,54.425636,1.6982938,21.23608
,,0.45118326,16.259335,0.9245753,50.3684,1.4254856,15.995732
,,1.0520401,22.387196,0.94942605,50.94632,1.3957783,44.13131
,,0.52086836,15.269971,1.0000771,49.58168,1.0655605,44.91452
,,1.0695727,14.697527,1.1424016,48.18032,0.3997526,23.078451
,,1.7758372,17.653849,2.8500314,48.748096,2.7238421,34.876877
,,0.5544491,14.838443,0.72841877,49.916656,1.7516782,27.547604
,,0.50597584,15.459429,1.5369763,77.74901,1.908026,28.381659
,,0.5158986,15.226024,1.1885519,56.813812,1.666585,28.644308
,,0.5603099,14.67175,1.5846999,59.550842,1.9193373,28.485025
,,0.4909232,15.238916,1.4349209,64.833084,1.7306154,28.104364
,,0.5014216,15.444183,2.0056736,72.31615,0.6891862,21.348167
,,0.50597584,15.459429,1.6752962,66.07411,1.4995044,27.263464
,,0.73698175,26.6018,1.5498534,72.28696,0.42557675,32.167267
,,1.048644,21.10944,1.5752623,70.5955,1.8074553,34.54196
,,0.49132308,21.451927,1.6880763,66.81881,1.1467608,36.318756
,,1.3257313,18.883413,1.7495472,63.44314,1.1222538,24.118727
,,1.0886586,19.443707,1.0315357,63.01938,2.5221736,138.43138
,,1.3715346,22.467274,3.904678,52.830055,4.974527,136.86967
,,0.39597476,19.980743,1.3606963,59.65209,6.8049526,96.99478
,,0.77946746,32.625732,2.5185714,61.20144,4.102842,62.165375
,,1.3750873,33.457283,1.3602757,62.3579,2.274386,37.295044
,,0.65468115,33.211395,2.1807747,30.807495,2.0110347,30.91625
,,1.2452731,33.972878,0.5542397,20.020212,2.8534975,38.111427
,,1.7065109,40.46939,0.6415669,20.62994,1.4022007,24.931477
,,0.9241434,32.43023,2.2810051,140.06923,0.6257351,27.283009
,,0.88778573,33.0644,2.5164087,15.01183,0.6128344,29.181238
,,0.6485283,34.06382,0.91910404,19.086706,0.81212896,34.763405
,,1.8334525,33.653835,2.206547,24.999714,1.1624746,55.66465
,,1.4256734,33.136345,0.45543477,20.125805,1.1624746,55.66465
,,1.4339335,33.09305,2.2373774,35.916805,3.4269247,95.3149
,,1.7473662,31.93284,2.1218233,31.626835,3.4269247,95.3149
,,1.2703625,31.48938,1.373104,39.31841,2.6949444,46.976326
,,2.342648,29.835928,1.0240207,32.69908,0.7729294,41.94828
,,1.6256396,35.50807,0.9285729,32.408634,1.7448062,29.06684
,,1.341638,36.932064,0.9285729,32.408634,1.6623033,36.10797
,,0.6126019,37.602303,1.3875471,31.635025,0.19934005,32.489952
,,1.1182044,35.110718,0.79610205,33.069252,0.34809712,32.59511
,,1.2582515,36.35043,1.2286811,38.314987,0.7215348,30.674297
,,1.359223,33.27468,0.90583396,33.958916,1.0583459,29.386297
,,0.94668734,37.408955,2.4665105,36.075184,1.2706745,28.596848
,,1.3445977,33.78224,0.83303297,33.7837,1.6287352,25.953781
,,0.86927605,33.44095,0.91278416,35.149605,1.4309165,27.658718
,,1.0141965,34.143555,0.94472975,29.64027,1.5503668,23.03384
,,1.5370753,33.894787,1.0720022,22.0251,1.2570384,27.36756
,,0.65277815,33.21796,0.7498816,33.852394,1.6101559,34.033527
,,1.3368883,36.574432,1.3699818,30.534184,0.80786544,35.694496
,,0.9796582,31.306849,1.1029242,29.888905,0.38566077,33.809593
,,0.8144397,33.72996,,,0.4422823,33.836357
,,1.4893655,32.84619,,,0.3880078,32.342663
,,0.6593548,28.754086,,,0.5960139,31.300283
,,1.2010341,31.28092,,,0.90295005,30.75056
,,0.4424829,29.69906,,,0.3387004,31.40092
,,0.5308394,26.830357,,,1.0140743,23.987074
,,2.13395,33.036644,,,1.020744,29.444519
,,0.7378052,28.713684,,,1.4264078,28.04566
,,0.6639432,28.743923,,,1.749332,33.70249
,,0.98718226,30.400692,,,1.2348291,29.06347
,,1.4677784,30.277191,,,1.4808427,33.077484
,,1.4115005,31.06522,,,0.72449595,26.173239
,,0.58067304,31.264914,,,0.600093,27.616825
,,1.2304184,31.122702,,,0.5700662,29.402658
,,1.954978,32.840366,,,2.5325933,72.33281
,,1.3768523,31.88895,,,0.5566186,47.747986
,,0.834966,29.681585,,,0.5471931,39.044243
,,0.4424829,29.69906,,,0.928424,28.968287
