line0_x,line0_y,scatter1_x,scatter1_y,scatter2_x,scatter2_y,scatter3_x,scatter3_y,scatter4_x,scatter4_y
,,,,17.100000381469727,20.360912322998047,45.400001525878906,53.50572204589844,31.399999618530273,20.076509475708008
,,,,14.399999618530272,19.8997802734375,46.099998474121094,50.99093246459961,31.0,21.281635284423828
,,,,15.100000381469728,20.04828643798828,48.900001525878906,53.7232666015625,30.5,19.851362228393555
,,,,15.399999618530272,19.78023910522461,49.5,49.4299430847168,30.0,20.15576934814453
,,,,14.399999618530272,19.63812255859375,40.79999923706055,51.653358459472656,29.600000381469727,23.46371078491211
,,,,14.5,19.894367218017575,46.400001525878906,48.98248291015625,29.600000381469727,43.248741149902344
,,,,14.800000190734863,19.889068603515625,48.900001525878906,51.221866607666016,55.20000076293945,49.576507568359375
,,,,18.100000381469727,20.90316390991211,48.0,50.11762237548828,44.70000076293945,52.0313720703125
,,,,21.5,20.948253631591797,34.900001525878906,31.9326171875,38.599998474121094,56.491729736328125
,,,,24.0,20.59691619873047,34.29999923706055,31.63348388671875,20.760000228881836,15.170659065246582
,,,,15.600000381469728,20.64806747436523,33.20000076293945,31.75324058532715,18.600000381469727,15.170658111572266
,,,,28.299999237060547,15.38050651550293,34.5,44.39632034301758,34.0,45.02339172363281
,,,,22.100000381469727,17.053037643432617,33.0,38.82685470581055,36.0,49.193817138671875
,,,,26.299999237060547,24.056716918945312,40.0,40.73938751220703,17.0,28.72713279724121
,,,,35.29999923706055,22.42233085632324,16.0,45.93451690673828,21.100000381469727,16.419235229492188
,,,,30.5,22.922719955444336,21.200000762939453,26.329883575439453,23.5,28.07372283935547
,,,,23.0,21.58829116821289,18.299999237060547,27.240291595458984,21.399999618530273,24.360910415649418
,,,,25.0,20.499103546142575,27.5,26.7332763671875,22.0,23.511646270751953
,,,,25.0,18.27920913696289,22.299999237060547,24.30548667907715,22.5,98.63157653808594
,,,,29.0,20.53014755249023,20.690000534057617,32.29075622558594,22.600000381469727,58.136077880859375
,,,,30.0,21.95949935913086,19.959999084472656,32.847312927246094,23.0,19.582565307617188
,,,,26.0,20.83660888671875,23.309999465942383,32.586769104003906,29.600000381469727,46.66557312011719
,,,,36.20000076293945,21.18980407714844,21.549999237060547,32.221946716308594,32.400001525878906,51.96857452392578
,,,,33.599998474121094,20.66980743408203,39.70000076293945,42.558143615722656,34.599998474121094,52.36798095703125
,,,,33.599998474121094,19.969520568847656,34.29999923706055,36.41549301147461,30.0,28.671783447265625
,,,,31.0,19.314613342285156,44.900001525878906,40.84134292602539,25.0,24.39807891845703
,,,,29.399999618530273,18.500638961791992,23.0,29.605628967285156,25.0,28.737754821777344
,,,,25.899999618530273,17.659534454345703,22.0,30.35605239868164,25.5,27.01885223388672
,,,,17.399999618530273,16.578800201416016,22.0,39.51093673706055,20.350000381469727,14.899298667907717
,,,,19.899999618530273,16.888851165771484,22.0,40.32453155517578,25.100000381469727,17.672016143798828
,,,,35.099998474121094,22.422218322753903,25.0,36.18831634521485,23.799999237060547,44.226226806640625
,,,,30.0,22.92288589477539,28.0,45.89712905883789,24.700000762939453,17.655807495117188
,,,,60.900001525878906,27.634428024291992,20.0,32.543113708496094,21.100000381469727,14.89691162109375
,,,,105.8000030517578,30.74571228027344,29.100000381469727,40.00835418701172,20.899999618530273,14.626459121704102
,,,,37.0,31.623783111572266,32.20000076293945,43.12318420410156,16.299999237060547,15.627923965454102
,,,,34.0,35.29209518432617,35.099998474121094,46.129676818847656,17.600000381469727,16.727066040039062
,,,,28.0,33.81468200683594,45.29999923706055,53.82942962646485,18.399999618530273,16.99509620666504
,,,,32.0,17.057437896728516,44.900001525878906,55.42570495605469,20.399999618530273,18.675296783447266
,,,,30.0,35.725067138671875,75.4000015258789,73.56378936767578,15.699999809265137,15.432178497314451
,,,,28.299999237060547,25.63536071777344,42.5,52.730804443359375,17.0,37.81931686401367
,,,,27.0,26.808164596557617,27.0,38.19325256347656,40.20000076293945,42.67365646362305
,,,,27.0,36.00126647949219,37.599998474121094,38.70195770263672,19.5,15.130134582519531
,,,,27.0,35.99240493774414,36.5,39.91438293457031,19.299999237060547,15.133585929870604
,,,,27.0,22.518882751464844,36.0,39.12403869628906,14.100000381469728,23.62732696533203
