formula,sintering_temp_C,sintering_time_h,sintering_time_missing,crystal_system,phase_transition,epsilon_r
Ca0.40Li0.15La0.10Nd0.25TiO3,1320-1380,3.0,0,orthorhombic,0,117.0
SrPr4Ti5O17,1550,4.0,0,orthorhombic,0,46.1
Ca0.4Li0.3Nd0.3TiO3,1300-1400,5.0,0,unknown,0,112.6
CaMg0.2Ta0.4Ti0.4O3,1300-1400,5.0,0,unknown,0,60.2
Ca0.6Pb0.4Fe0.5Ta0.5O3,1050,3.0,0,unknown,0,62.0
Pb0.6Ca0.4Fe0.475Nb0.475Sn0.05O3,1150,3.0,0,cubic,0,140.4
Pb0.5Ca0.5Fe0.475Nb0.475Sn0.05O3,1150,3.0,0,orthorhombic,0,102.8
Pb0.48Ca0.52Fe0.475Nb0.475Sn0.05O3,1150,3.0,0,orthorhombic,0,95.0
Pb0.46Ca0.54Fe0.475Nb0.475Sn0.05O3,1150,3.0,0,orthorhombic,0,90.6
Pb0.45Ca0.55Fe0.475Nb0.475Sn0.05O3,1150,3.0,0,orthorhombic,0,88.9
Pb0.4Ca0.6Fe0.475Nb0.475Sn0.05O3,1150,3.0,0,cubic,1,81.0
Pb0.65Ca0.35ZrO3,1450,2.0,0,rhombohedral,0,118.0
Pb0.6Ca0.4Fe0.45Nb0.45Sn0.1O3,1150,3.0,0,cubic,0,138.0
Pb0.48Ca0.52Fe0.45Nb0.45Sn0.1O3,1150,3.0,0,orthorhombic,0,92.4
Pb0.46Ca0.54Fe0.45Nb0.45Sn0.1O3,1150,3.0,0,orthorhombic,0,86.7
Pb0.45Ca0.55Fe0.45Nb0.45Sn0.1O3,1150,3.0,0,orthorhombic,0,85.3
Pb0.4Ca0.6Fe0.45Nb0.45Sn0.1O3,1150,3.0,0,cubic,1,71.1
Ca0.20Li0.34La0.04Nd0.38TiO3,1320-1380,3.0,0,tetragonal,0,132.6
Ca0.40Li0.24La0.04Nd0.28TiO3,1320-1380,3.0,0,orthorhombic,0,136.4
Ca0.60Li0.14La0.04Nd0.18TiO3,1320-1380,3.0,0,orthorhombic,0,142.0
Ca0.60Li0.15La0.0333Nd0.1833TiO3,1320-1380,3.0,0,orthorhombic,0,128.2
Ca0.50Li0.20La0.0333Nd0.2333TiO3,1320-1380,3.0,0,orthorhombic,0,123.0
Ca0.40Li0.25La0.0333Nd0.2833TiO3,1320-1380,3.0,0,orthorhombic,0,121.3
Ca0.60Li0.05La0.10Nd0.15TiO3,1320-1380,3.0,0,orthorhombic,0,117.0
Pb0.5Ca0.5Fe0.45Nb0.45Sn0.1O3,1150,3.0,0,orthorhombic,0,96.8
Pb0.63Ca0.37ZrO3,1450,2.0,0,rhombohedral,0,110.0
Pb0.60Ca0.40ZrO3,1450,2.0,0,rhombohedral,0,94.0
Pb0.50Ca0.50ZrO3,1500,2.0,0,rhombohedral,0,74.0
Ca0.20Sr0.80Ti0.20Mg0.2667Nb0.5333O3,1600,4.0,1,orthorhombic,0,45.0
BaTi0.50Ga0.25Nb0.25O3,1450-1500,4.0,0,cubic,0,86.0
BaTi0.40Ga0.30Nb0.30O3,1450-1501,4.0,0,cubic,0,66.0
BaTi0.30Ga0.35Nb0.35O3,1450-1502,4.0,0,cubic,0,47.0
Ba2La3Ti3NbO15,1470,6.0,0,unknown,0,47.0
Ba3La3Ti4Nb2O18,1480,6.0,0,hexagonal,0,47.44
Sr0.2Ca0.488Nd0.208Ti0.6Al0.5333O3,1520,4.0,0,orthorhombic,0,48.3
Pb0.4Ca0.6Fe0.5Ta0.5O3,1050,3.0,0,unknown,0,62.0
Ba3LaNb3O12,1500,6.0,0,hexagonal,0,43.5
Ca0.28Sm0.28Li0.15Nd0.15TiO3,1300,3.0,0,orthorhombic,0,98.0
SrLa1Pr3Ti5O17,1580,4.0,0,orthorhombic,0,50.0
Ba3LaNb3O12,1450,6.0,0,hexagonal,0,43.6
Ba3LaNb3O12,1400,6.0,0,hexagonal,0,43.8
Ca0.8Sm0.1333TiO3,1450,3.0,0,tetragonal,1,119.0
Ca0.6Sm0.2667TiO3,1450,3.0,0,unknown,0,101.0
Ca0.4Sm0.4TiO3,1450,3.0,0,tetragonal,0,94.5
Ca0.3Li0.35Sm0.35TiO3,1300,3.0,0,orthorhombic,0,114.0
Ca0.5Li0.25Sm0.25TiO3,1300,3.0,0,orthorhombic,0,130.5
Sr0.4Ce0.4TiO3,1300,2.0,0,cubic,0,113.0
Ba3LaNb3O12,1425,6.0,0,hexagonal,0,43.5
Sr0.5Ce0.3333TiO3,1375,2.0,0,cubic,0,123.0
Sr0.625Ce0.25TiO3,1375,2.0,0,cubic,0,143.0
La0.48Ca0.52Co0.24Ti0.76O3,1550,6.0,0,orthorhombic,0,45.0
Nd0.52Ca0.48Co0.26Ti0.74O3,1550,6.0,0,orthorhombic,0,43.0
Ba3LaNb3O12,1375,6.0,0,hexagonal,0,43.9
Sr0.5714Ce0.2857TiO3,1375,2.0,0,cubic,0,136.0
CaTi0.40Mg0.20Nb0.40O3,1450,4.0,0,orthorhombic,0,47.25
SrLa2Pr2Ti5O17,1580,4.0,0,orthorhombic,0,53.5
SrLa4Ti5O17,1500,4.0,0,orthorhombic,0,60.8
Ca3Ba2Nb2TiO12,1475,4.0,0,cubic,0,66.0
Ca2Ba3Nb2TiO12,1500,4.0,0,cubic,0,75.0
Ca1Ba4Nb2TiO12,1470,4.0,0,cubic,0,83.0
Ca3Ba2Ta2TiO12,1540,4.0,0,cubic,0,48.0
Ca2Ba3Ta2TiO12,1524,4.0,0,cubic,0,61.0
CaBa4Ta2TiO12,1500,4.0,0,cubic,0,64.0
Ba3La1Nb3O12,1300–1350,6.0,0,hexagonal,0,48.3
Ba3La1Nb3O12,1300–1350,6.0,0,hexagonal,0,44.2
Ba3La2Ti2Nb2O12,1300–1350,6.0,0,hexagonal,0,42.8
BaLa4Ti4O15,1400-1600,2.0,0,hexagonal,0,45.0
Ba1La3.96Al0.44Ti4O15,1400-1600,2.0,0,hexagonal,0,44.0
BaPr0.3Bi0.2Nb0.5O3,1250–1300,8.0,0,cubic,0,60.7
BaSm0.3Bi0.2Nb0.5O3,1250–1300,8.0,0,cubic,0,50.8
BaGd0.3Bi0.2Nb0.5O3,1250–1300,8.0,0,cubic,0,47.9
BaDy0.3Bi0.2Nb0.5O3,1250–1300,8.0,0,cubic,0,48.6
BaY0.3Bi0.2Nb0.5O3,1250–1300,8.0,0,cubic,0,44.6
BaEr0.3Bi0.2Nb0.5O3,1250–1300,8.0,0,cubic,0,46.1
Ba4Nd1Ti1Nb3O15,1430,3.0,0,hexagonal,0,38.15
Ba3Nd2Ti2Nb2O15,1450,3.0,0,hexagonal,0,46.83
Ba1Sr1La3Ti3NbO15,1520,4.0,1,unknown,0,43.03
Ba1.25Sr0.75La3Ti3NbO15,1510,4.0,1,unknown,0,46.86
Ba1.5Sr0.5La3Ti3NbO15,1500,4.0,1,unknown,0,46.32
Ba1.75Sr0.25La3Ti3NbO15,1490,4.0,1,unknown,0,47.01
CaTi0.30Mg0.2333Nb0.4667O3,1450,4.0,0,orthorhombic,0,41.56
CaLa4Ti4O15,1650-1670,4.0,0,hexagonal,0,44.7
SrLa4Ti4O15,1625,2.0,0,hexagonal,0,45.1
BaLa4Ti4O15,1550,4.0,0,hexagonal,0,49.1
Ca2La4Ti5O18,1650-1670,4.0,0,trigonal,0,49.3
CaLa4Ti5O17,1650-1670,4.0,0,orthorhombic,0,55.2
CaLa8Ti9O31,1650-1670,4.0,0,orthorhombic,0,54.9
BaZn0.3167Nb0.6333Zr0.05O3,1450,2.0,0,cubic,0,42.0
CaLa4Ti4O15,1550,4.0,0,hexagonal,0,43.61
CaLa3.5Nd0.5Ti4O15,1550,4.0,0,hexagonal,0,43.36
CaMg0.300Ta0.600Ti0.100O3,1500–1550,3.0,0,orthorhombic,0,25.4
CaLa3NdTi4O15,1550,4.0,0,orthorhombic,1,43.1
Ba4LaTiTa3O15,1480,6.0,0,hexagonal,0,41.1
